,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
0,Naze,75,NG,1535086800,94,5.43,7.07,73.4,73.4,0.36
1,Vila Velha,40,BR,1535083200,74,-3.71,-38.6,80.6,80.6,14.99
2,Kieta,44,PG,1535088390,100,-6.22,155.63,78.38,78.38,4.61
3,Busselton,0,AU,1535088391,100,-33.64,115.35,59.66,59.66,6.29
4,Qaanaaq,68,GL,1535088391,100,77.48,-69.36,35.9,35.9,5.28
5,Uray,88,RU,1535088391,95,60.13,64.8,61.01,61.01,6.96
6,Atuona,0,PF,1535087665,100,-9.8,-139.03,79.01,79.01,11.54
7,Punta Arenas,20,CL,1535086800,96,-53.16,-70.91,37.4,37.4,24.16
8,Paripiranga,92,BR,1535088392,91,-10.68,-37.86,68.93,68.93,4.5
9,East London,0,ZA,1535083200,62,-33.02,27.91,51.8,51.8,8.05
10,Coburg,0,DE,1535086200,87,50.26,10.96,60.8,60.8,8.05
11,Lorengau,64,PG,1535087558,100,-2.02,147.27,79.73,79.73,4.38
12,Sarkand,48,KZ,1535088393,30,45.41,79.91,80.63,80.63,5.39
13,Komsomolskiy,88,RU,1535087982,72,67.55,63.78,61.46,61.46,2.37
14,Miri,80,NG,1535088393,95,10.31,9.75,67.22,67.22,10.54
15,Stettler,100,CA,1535088394,58,52.32,-112.71,68.39,68.39,2.15
16,Port Alfred,0,ZA,1535087662,99,-33.59,26.89,58.76,58.76,11.21
17,Talnakh,0,RU,1535087891,56,69.49,88.39,60.11,60.11,13.56
18,Geraldton,75,CA,1535086800,81,49.72,-86.95,50.0,50.0,9.17
19,Ermelo,75,NL,1535086500,93,52.3,5.62,60.8,58.87,10.29
20,Hobart,75,AU,1535085000,54,-42.88,147.33,57.2,57.2,9.17
21,Barrow,8,AR,1535087851,76,-38.31,-60.23,38.6,38.6,5.61
22,Rikitea,0,PF,1535087843,100,-23.12,-134.97,69.11,69.11,16.13
23,Manokwari,8,ID,1535088395,100,-0.87,134.08,81.89,81.89,8.63
24,Longyearbyen,75,NO,1535086200,75,78.22,15.63,41.0,41.0,3.36
25,Mut,0,TR,1535088396,26,36.64,33.44,78.56,78.56,0.92
26,Salinopolis,0,BR,1535088396,98,-0.61,-47.36,79.64,79.64,13.33
27,Kaitangata,56,NZ,1535087848,86,-46.28,169.85,45.26,45.26,11.88
28,Verkhoyansk,36,RU,1535088396,83,67.55,133.39,53.63,53.63,6.62
29,Haines Junction,44,CA,1535088397,73,60.75,-137.51,44.72,44.72,3.49
30,Vaini,88,IN,1535087867,100,15.34,74.49,72.08,72.08,8.41
31,Butaritari,56,KI,1535087554,100,3.07,172.79,82.07,82.07,4.5
